id,name,brand,series,model,description,imageUrls,productType,price
"0eZ7mxuqXjXIXuxBAf85","Samsung Battery EB-BG960ABE 3000 mAh SM-G960F Galaxy S9 GH82-15963A","Samsung","S series","Samsung Galaxy S9","Info: Samsung Battery EB-BG960ABE 3000 mAh SM-G960F Galaxy S9 GH82-15963A. Suitable for Samsung Galaxy S9.",["https://mpsmobile.de/data/product/images/detail/normal/521850D6-19E9-5262-2665-28E01B402A78.jpg"],"Batteries",43
"3spAc3JPCOPowDrQoamR","OEM Display Unit + Frame Huawei Ascend G7 black","Huawei","Ascend","Huawei Ascend G7","Suitable for:\n\nHuawei Ascend G7",["https://mpsmobile.de/data/product/images/detail/normal/6AA51AF4-009F-354E-7827-1B57BEE2FEBD.jpg","https://mpsmobile.de/data/product/images/detail/normal/9F525931-EA45-F8D7-D550-0695EC9D3435.jpg"],"LCD Display",10.84
"5W2dvxCtRjXxeOIChazP","OEM Display Unit for Huawei Mate 8 gold","Huawei","Mate","Huawei Mate 8","Info: OEM Display Unit for Huawei Mate 8 gold\n\nSuitable for:\n\nHuawei Mate 8",["https://mpsmobile.de/data/product/images/detail/small/8EF7BC81-50E2-BCF4-0D7E-3B7F222208EC.jpg","https://mpsmobile.de/data/product/images/detail/small/031E6914-ED39-2E40-989B-1BAB0AA76662.jpg"],"LCD Display",4.47
"7CWvI9PmtbEDZlRwBzwf","OEM Display Unit (Wihtout Frame) Huawei P8 lite black","Huawei","P series","Huawei P8lite","Info: OEM Display Unit (Wihtout Frame) Huawei P8 lite black\n\nSuitable for:\n\nHuawei P8lite",["https://mpsmobile.de/data/product/images/detail/normal/9A5E787B-0BD8-0F63-829F-CA6E374CEE17.jpg","https://mpsmobile.de/data/product/images/detail/normal/2ABD93F2-0E89-ACB6-D7FC-B8A359504F14.jpg"],"LCD Display",6.38
"B5AjjlJw9kdfgrODEQzI","Samsung Battery EB-BG965ABE 3500 mAh SM-G965F Galaxy S9+ GH82-15960A","Samsung","S series","Samsung Galaxy S9+","Info: Samsung Battery EB-BG965ABE 3500 mAh SM-G965F Galaxy S9+ GH82-15960A\n\nSuitable for:\n\nSamsung Galaxy S9+",["https://mpsmobile.de/data/product/images/detail/normal/8A6924A1-D28B-25EF-3267-2C5C84189362.jpg","https://mpsmobile.de/data/product/images/detail/normal/DF6B760C-6D81-FCC1-EE38-1D19CA428432.jpg"],"Batteries",30
"BMse8qUiCG5156lt86DS","Samsung Battery EB-BA920ABU 3800 mAh SM-A920F Galaxy A9 2018 GH82-18306A","Samsung","A series","Samsung Galaxy A9 (2018)","Suitable for:\n\nSamsung Galaxy A9 (2018)",["https://mpsmobile.de/data/product/images/detail/normal/B937E988-6B9B-52C7-77D8-26BB2F6EE52E.jpg","https://mpsmobile.de/data/product/images/detail/normal/CA89DA4E-71E6-D8A3-AC1C-0734C2655A4F.jpg"],"Batteries",20
"CIHnuFDczhj8PLrMYi6c","OEM Display Unit + Frame Huawei Ascend G6 white","Huawei","Ascend","Huawei Ascend G6","Suitable for:\n\nHuawei Ascend G6",["https://mpsmobile.de/data/product/images/detail/normal/77A52F65-60C0-AE66-C4FC-5ADD08C75E89.jpg","https://mpsmobile.de/data/product/images/detail/normal/CEC45516-A2FE-1D95-636A-8AB5BCA1582E.jpg"],"LCD Display",6.9
"CYelfBcHJVtvSSxs0hrf","MPS Battery EB-BG965ABE for Samsung G965F Galaxy S9+","Samsung","S series","Samsung Galaxy S9+","Compatibel with the following model:Samsung: Galaxy S9+Samsung: EB-BG965ABE, GH82-15960A\n\nSuitable for:\n\nSamsung Galaxy S9+",["https://mpsmobile.de/data/product/images/detail/normal/646349D5-C5AD-557F-7178-657DFEF152E3.jpg","https://mpsmobile.de/data/product/images/detail/normal/58DD3502-2DC5-9001-4F60-46BDB76DCD17.jpg"],"Batteries",31
"Eeym3LJChCYpU2Is17V0","Samsung Battery EB-BG960ABE 3000 mAh SM-G960F Galaxy S9 GH82-15963A","Samsung","S series","Samsung Galaxy S9","Info: Samsung Battery EB-BG960ABE 3000 mAh SM-G960F Galaxy S9 GH82-15963A\n\nSuitable for:\n\nSamsung Galaxy S9",["https://mpsmobile.de/data/product/images/detail/normal/A73133DB-0D47-0CCC-20D1-0284F5E3A07A.jpg","https://mpsmobile.de/data/product/images/detail/normal/B9C30D2E-667E-90BB-ADB2-92EA8E9800B6.jpg"],"Batteries",15
"FvSR3IgYHvJhdMeP5s3j","Samsung Battery EB-BG970ABU 3100 mAh SM-G970F Galaxy S10e GH82-18825A","Samsung","S series","Samsung Galaxy S10e","Info: Samsung Battery EB-BG970ABU 3100 mAh SM-G970F Galaxy S10e GH82-18825A\n\nSuitable for:\n\nSamsung Galaxy S10e",["https://mpsmobile.de/data/product/images/detail/normal/41500571-2E62-D73D-F6D8-BB2E74E12EA9.jpg","https://mpsmobile.de/data/product/images/detail/normal/3279CE89-13F8-8B44-CC71-EDD5C0170474.jpg"],"Batteries",29
"GToxFbt2Acp1MvaH1dup","Samsung Battery EB-BN950ABE 3300 mAh SM-N950F Galaxy Note 8 GH82-15090A","Samsung","Note","Samsung Galaxy Note8","SVC BATTERY ASSY-SM-N950F;EB-BN950ABE;SM\n\nSuitable for:\n\nSamsung Galaxy Note8",["https://mpsmobile.de/data/product/images/detail/normal/36FFAF7E-7646-245E-B84E-465F1C1F5381.jpg","https://mpsmobile.de/data/product/images/detail/normal/121A1B1D-F4DC-B80E-A0E6-431F63A9BE3F.jpg"],"Batteries",20
